请坐。	Qǐng zuò	Mời ngồi
外面很热，快进去吧。	Wàimiàn hěn rè, kuài jìnqù ba	Ngoài trời nóng lắm, mau vào trong đi
我们一起进去看看。	Wǒmen yìqǐ jìnqù kànkan	Chúng ta cùng vào xem đi
老师已经进去了。	Lǎoshī yǐjīng jìnqù le	Giáo viên đã vào trong rồi
你为什么不进去？	Nǐ wèishénme bú jìnqù	Tại sao bạn không vào?
小猫跑进去了。	Xiǎomāo pǎo jìnqù le	Con mèo chạy vào trong rồi
请把车开进去。	Qǐng bǎ chē kāi jìnqù	Hãy lái xe vào trong
我看见他走进去了。	Wǒ kànjiàn tā zǒu jìnqù le	Tôi thấy anh ấy đi vào trong
商店里人太多，我不想进去。	Shāngdiàn lǐ rén tài duō, wǒ bù xiǎng jìnqù	Trong cửa hàng quá đông, tôi không muốn vào
你工作辛苦了。	Nǐ gōngzuò xīnkǔ le	Bạn làm việc vất vả rồi
老师辛苦了。	Lǎoshī xīnkǔ le	Thầy/cô vất vả rồi
学汉语很辛苦。	Xué Hànyǔ hěn xīnkǔ	Học tiếng Trung rất vất vả
他每天工作到很晚，很辛苦。	Tā měitiān gōngzuò dào hěn wǎn, hěn xīnkǔ	Anh ấy mỗi ngày làm việc đến khuya, rất vất vả
妈妈照顾孩子很辛苦。	Māma zhàogù háizi hěn xīnkǔ	Mẹ chăm con rất vất vả
今天你辛苦了。	Jīntiān nǐ xīnkǔ le	Hôm nay bạn vất vả rồi
做服务员很辛苦。	Zuò fúwùyuán hěn xīnkǔ	Làm phục vụ rất cực
开车这么久，你辛苦了。	Kāichē zhème jiǔ, nǐ xīnkǔ le	Lái xe lâu như vậy, bạn vất vả rồi
最近工作忙不忙？辛苦吗？	Zuìjìn gōngzuò máng bu máng? Xīnkǔ ma	Dạo gần đây công việc bận không? Có vất vả không?
为了生活，他非常辛苦。	Wèile shēnghuó, tā fēicháng xīnkǔ	Vì cuộc sống, anh ấy rất vất vả
他长得像他爸爸。	Tā zhǎng de xiàng tā bàba	Anh ấy trông giống bố mình
你今天像老师一样。	Nǐ jīntiān xiàng lǎoshī yíyàng	Hôm nay bạn giống giáo viên vậy
她的声音很像我姐姐。	Tā de shēngyīn hěn xiàng wǒ jiějie	Giọng cô ấy rất giống chị gái tôi
这个地方像公园。	Zhège dìfang xiàng gōngyuán	Nơi này giống công viên
他跑得像风一样快。	Tā pǎo de xiàng fēng yíyàng kuài	Anh ấy chạy nhanh như gió
这朵云像一只猫。	Zhè duǒ yún xiàng yì zhī māo	Đám mây này giống một con mèo
他说话的样子很像中国人。	Tā shuōhuà de yàngzi hěn xiàng Zhōngguó rén	Cách nói chuyện của anh ấy rất giống người Trung Quốc
我不像他那么高。	Wǒ bú xiàng tā nàme gāo	Tôi không cao như anh ấy
她笑起来像小孩子。	Tā xiào qǐlai xiàng xiǎoháizi	Cô ấy cười lên giống trẻ con
这里晚上的风景像电影一样。	Zhèlǐ wǎnshang de fēngjǐng xiàng diànyǐng yíyàng	Phong cảnh buổi tối ở đây đẹp như phim
我想学汉语。	Wǒ xiǎng xué Hànyǔ	Tôi muốn học tiếng Trung
我想吃火锅。	Wǒ xiǎng chī huǒguō	Tôi muốn ăn lẩu
你想去哪儿？	Nǐ xiǎng qù nǎr	Bạn muốn đi đâu?
我不想上班。	Wǒ bù xiǎng shàngbān	Tôi không muốn đi làm
我想休息一下。	Wǒ xiǎng xiūxi yíxià	Tôi muốn nghỉ ngơi một chút
他想买一辆车。	Tā xiǎng mǎi yí liàng chē	Anh ấy muốn mua một chiếc xe
我正在想这个问题。	Wǒ zhèngzài xiǎng zhège wèntí	Tôi đang suy nghĩ về vấn đề này
你在想什么？	Nǐ zài xiǎng shénme	Bạn đang nghĩ gì vậy?
我很想你。	Wǒ hěn xiǎng nǐ	Tôi rất nhớ bạn
小时候我想当老师。	Xiǎoshíhou wǒ xiǎng dāng lǎoshī	Lúc nhỏ tôi muốn làm giáo viên
我经常看中国电影。	Wǒ jīngcháng kàn Zhōngguó diànyǐng	Tôi thường xem phim Trung Quốc
他经常迟到。	Tā jīngcháng chídào	Anh ấy thường đến muộn
我妈妈经常做饭。	Wǒ māma jīngcháng zuòfàn	Mẹ tôi thường nấu ăn
你经常去健身房吗？	Nǐ jīngcháng qù jiànshēnfáng ma	Bạn có thường đi gym không?
我们经常一起学习。	Wǒmen jīngcháng yìqǐ xuéxí	Chúng tôi thường học cùng nhau
她经常帮助别人。	Tā jīngcháng bāngzhù biérén	Cô ấy thường giúp đỡ người khác
我经常晚上复习汉语。	Wǒ jīngcháng wǎnshang fùxí Hànyǔ	Tôi thường ôn tiếng Trung vào buổi tối
最近经常下雨。	Zuìjìn jīngcháng xiàyǔ	Dạo gần đây thường xuyên mưa
他经常出去玩。	Tā jīngcháng chūqù wán	Anh ấy thường ra ngoài chơi
我经常听中文歌。	Wǒ jīngcháng tīng Zhōngwén gē	Tôi thường nghe nhạc tiếng Trung
他今天又迟到了。	Tā jīntiān yòu chídào le	Hôm nay anh ấy lại đến muộn
我不喜欢迟到。	Wǒ bù xǐhuan chídào	Tôi không thích đến muộn
上课不要迟到。	Shàngkè bú yào chídào	Đi học đừng đến muộn
因为堵车，所以我迟到了。	Yīnwèi dǔchē, suǒyǐ wǒ chídào le	Vì tắc đường nên tôi đến muộn
老师讨厌学生迟到。	Lǎoshī tǎoyàn xuésheng chídào	Giáo viên ghét học sinh đi muộn
他经常迟到。	Tā jīngcháng chídào	Anh ấy thường xuyên đến muộn
对不起，我迟到了。	Duìbuqǐ, wǒ chídào le	Xin lỗi, tôi đến muộn
今天差点儿迟到。	Jīntiān chàdiǎnr chídào	Hôm nay suýt đến muộn
如果再迟到，你会被批评。	Rúguǒ zài chídào, nǐ huì bèi pīpíng	Nếu còn đến muộn nữa bạn sẽ bị phê bình
我怕明天上班迟到。	Wǒ pà míngtiān shàngbān chídào	Tôi sợ mai đi làm muộn
其实我不喜欢喝咖啡。	Qíshí wǒ bù xǐhuan hē kāfēi	Thật ra tôi không thích uống cà phê
其实他人很好。	Qíshí tā rén hěn hǎo	Thật ra anh ấy là người rất tốt
我其实很紧张。	Wǒ qíshí hěn jǐnzhāng	Thật ra tôi rất căng thẳng
其实我早就知道了。	Qíshí wǒ zǎo jiù zhīdào le	Thật ra tôi biết từ lâu rồi
她其实不想去。	Tā qíshí bù xiǎng qù	Thật ra cô ấy không muốn đi
其实学习汉语很有意思。	Qíshí xuéxí Hànyǔ hěn yǒuyìsi	Thật ra học tiếng Trung rất thú vị
我其实很累。	Wǒ qíshí hěn lèi	Thật ra tôi rất mệt
其实这个地方很安静。	Qíshí zhège dìfang hěn ānjìng	Thật ra nơi này rất yên tĩnh
他其实很像他爸爸。	Tā qíshí hěn xiàng tā bàba	Thật ra anh ấy rất giống bố mình
其实我越来越喜欢这里了。	Qíshí wǒ yuè lái yuè xǐhuan zhèlǐ le	Thật ra tôi càng ngày càng thích nơi này
我发现这个地方很安静。	Wǒ fāxiàn zhège dìfang hěn ānjìng	Tôi phát hiện nơi này rất yên tĩnh
我发现他今天很开心。	Wǒ fāxiàn tā jīntiān hěn kāixīn	Tôi phát hiện hôm nay anh ấy rất vui
你发现了吗？	Nǐ fāxiàn le ma	Bạn phát hiện ra chưa?
我刚刚发现手机不见了。	Wǒ gānggang fāxiàn shǒujī bú jiàn le	Tôi vừa phát hiện điện thoại bị mất
老师发现他迟到了。	Lǎoshī fāxiàn tā chídào le	Giáo viên phát hiện anh ấy đến muộn
我发现学习汉语很有意思。	Wǒ fāxiàn xuéxí Hànyǔ hěn yǒuyìsi	Tôi phát hiện học tiếng Trung rất thú vị
她发现自己越来越喜欢中国文化。	Tā fāxiàn zìjǐ yuè lái yuè xǐhuan Zhōngguó wénhuà	Cô ấy phát hiện mình càng ngày càng thích văn hóa Trung Quốc
我发现外面下雨了。	Wǒ fāxiàn wàimiàn xiàyǔ le	Tôi phát hiện ngoài trời mưa rồi
他突然发现没带钱包。	Tā tūrán fāxiàn méi dài qiánbāo	Anh ấy đột nhiên phát hiện quên mang ví
我发现这里的风景很优美。	Wǒ fāxiàn zhèlǐ de fēngjǐng hěn yōuměi	Tôi phát hiện phong cảnh ở đây rất đẹp
学汉语有很多好处。	Xué Hànyǔ yǒu hěn duō hǎochu	Học tiếng Trung có rất nhiều lợi ích
运动对身体有好处。	Yùndòng duì shēntǐ yǒu hǎochu	Vận động có lợi cho cơ thể
早睡早起有好处。	Zǎoshuì zǎoqǐ yǒu hǎochu	Ngủ sớm dậy sớm có lợi
多喝水对身体有好处。	Duō hē shuǐ duì shēntǐ yǒu hǎochu	Uống nhiều nước có lợi cho cơ thể
学会管理时间有很多好处。	Xuéhuì guǎnlǐ shíjiān yǒu hěn duō hǎochu	Biết quản lý thời gian có nhiều lợi ích
去郊外走走对心情有好处。	Qù jiāowài zǒuzou duì xīnqíng yǒu hǎochu	Đi dạo ngoại ô có lợi cho tâm trạng
读书有什么好处？	Dúshū yǒu shénme hǎochu	Đọc sách có lợi ích gì?
学习新的语言有很多好处。	Xuéxí xīn de yǔyán yǒu hěn duō hǎochu	Học ngôn ngữ mới có rất nhiều lợi ích
这个工作对你以后有好处。	Zhège gōngzuò duì nǐ yǐhòu yǒu hǎochu	Công việc này có lợi cho tương lai của bạn
经常运动的好处很多。	Jīngcháng yùndòng de hǎochu hěn duō	Lợi ích của việc thường xuyên vận động rất nhiều
我住在第二层。	Wǒ zhù zài dì èr céng	Tôi sống ở tầng hai
今天是第一次见面。	Jīntiān shì dì yī cì jiànmiàn	Hôm nay là lần gặp đầu tiên
他得了第一名。	Tā dé le dì yī míng	Anh ấy đạt hạng nhất
我在第三排。	Wǒ zài dì sān pái	Tôi ở hàng thứ ba
这是我第一次来中国。	Zhè shì wǒ dì yī cì lái Zhōngguó	Đây là lần đầu tôi đến Trung Quốc
请看第一页。	Qǐng kàn dì yī yè	Hãy xem trang đầu tiên
我们住在第十层。	Wǒmen zhù zài dì shí céng	Chúng tôi sống ở tầng mười
今天上第二课。	Jīntiān shàng dì èr kè	Hôm nay học bài thứ hai
他是第一个进去的人。	Tā shì dì yí ge jìnqù de rén	Anh ấy là người đầu tiên đi vào
这是第几次考试？	Zhè shì dì jǐ cì kǎoshì	Đây là lần thi thứ mấy?
运动对身体很好。	Yùndòng duì shēntǐ hěn hǎo	Vận động rất tốt cho cơ thể
注意身体健康。	Zhùyì shēntǐ jiànkāng	Chú ý sức khỏe cơ thể
他身体不太好。	Tā shēntǐ bú tài hǎo	Sức khỏe anh ấy không tốt lắm
我最近身体很好。	Wǒ zuìjìn shēntǐ hěn hǎo	Dạo gần đây tôi sức khỏe rất tốt
多喝水对身体有好处。	Duō hē shuǐ duì shēntǐ yǒu hǎochu	Uống nhiều nước có lợi cho cơ thể
生病的时候要好好休息身体。	Shēngbìng de shíhou yào hǎohāo xiūxi shēntǐ	Khi ốm phải nghỉ ngơi cơ thể thật tốt
他身体越来越好了。	Tā shēntǐ yuè lái yuè hǎo le	Sức khỏe anh ấy càng ngày càng tốt lên
工作太忙会影响身体。	Gōngzuò tài máng huì yǐngxiǎng shēntǐ	Làm việc quá bận sẽ ảnh hưởng đến cơ thể
我担心你的身体。	Wǒ dānxīn nǐ de shēntǐ	Tôi lo cho sức khỏe của bạn
医生说要保护身体。	Yīshēng shuō yào bǎohù shēntǐ	Bác sĩ nói phải bảo vệ cơ thể
我很担心你。	Wǒ hěn dānxīn nǐ	Tôi rất lo cho bạn
别担心，一切都会好的。	Bié dānxīn, yíqiè dōu huì hǎo de	Đừng lo, mọi chuyện sẽ ổn thôi
妈妈担心孩子的安全。	Māma dānxīn háizi de ānquán	Mẹ lo cho sự an toàn của con
他担心考试考不好。	Tā dānxīn kǎoshì kǎo bù hǎo	Anh ấy lo thi không tốt
我担心明天会下雨。	Wǒ dānxīn míngtiān huì xiàyǔ	Tôi lo ngày mai sẽ mưa
老师很担心学生迟到。	Lǎoshī hěn dānxīn xuésheng chídào	Giáo viên rất lo học sinh đi muộn
不用担心，我会帮你。	Bú yòng dānxīn, wǒ huì bāng nǐ	Không cần lo, tôi sẽ giúp bạn
她一直担心他的身体。	Tā yìzhí dānxīn tā de shēntǐ	Cô ấy luôn lo cho sức khỏe của anh ấy
我开始担心时间不够。	Wǒ kāishǐ dānxīn shíjiān bù gòu	Tôi bắt đầu lo không đủ thời gian
你担心什么？	Nǐ dānxīn shénme	Bạn đang lo điều gì?
